date,q_cms,prec_mean,tmax,tmin,wind,Nat-09380000
1922-05-29,3114.848,,,,,4874849.0
1922-05-30,3228.1152,,,,,4874849.0
1922-05-31,3284.7488,,,,,4874849.0
1922-06-01,3228.1152,,,,,5624070.0
1922-06-02,3199.7983,,,,,5624070.0
1922-06-03,3029.8977,,,,,5624070.0
1922-06-04,2709.9177,,,,,5624070.0
1922-06-05,2440.9082,,,,,5624070.0
1922-06-06,2299.3242,,,,,5624070.0
1922-06-07,2299.3242,,,,,5624070.0
1922-06-08,2392.7695,,,,,5624070.0
1922-06-09,2506.0369,,,,,5624070.0
1922-06-10,2647.6208,,,,,5624070.0
1922-06-11,2944.9473,,,,,5624070.0
1922-06-12,3058.2144,,,,,5624070.0
1922-06-13,3058.2144,,,,,5624070.0
1922-06-14,2888.3137,,,,,5624070.0
1922-06-15,2823.185,,,,,5624070.0
1922-06-16,2806.1948,,,,,5624070.0
1922-06-17,2758.0564,,,,,5624070.0
1922-06-18,2489.0466,,,,,5624070.0
1922-06-19,2251.1855,,,,,5624070.0
1922-06-20,2140.75,,,,,5624070.0
1922-06-21,2140.75,,,,,5624070.0
1922-06-22,2123.76,,,,,5624070.0
1922-06-23,2123.76,,,,,5624070.0
1922-06-24,2044.4729,,,,,5624070.0
1922-06-25,2030.3146,,,,,5624070.0
1922-06-26,1951.0275,,,,,5624070.0
1922-06-27,1854.7504,,,,,5624070.0
1922-06-28,1744.3148,,,,,5624070.0
1922-06-29,1616.8893,,,,,5624070.0
1922-06-30,1568.7507,,,,,5624070.0
1922-07-01,1475.3053,,,,,2096584.0
1922-07-02,1381.8599,,,,,2096584.0
1922-07-03,1305.4045,,,,,2096584.0
1922-07-04,1245.9392,,,,,2096584.0
1922-07-05,1203.464,,,,,2096584.0
1922-07-06,1036.3949,,,,,2096584.0
1922-07-07,985.4246,,,,,2096584.0
1922-07-08,931.62274,,,,,2096584.0
1922-07-09,883.48413,,,,,2096584.0
1922-07-10,798.53375,,,,,2096584.0
1922-07-11,764.5536,,,,,2096584.0
1922-07-12,707.92,,,,,2096584.0
1922-07-13,654.1181,,,,,2096584.0
1922-07-14,634.2963,,,,,2096584.0
1922-07-15,603.1478,,,,,2096584.0
1922-07-16,546.5142,,,,,2096584.0
1922-07-17,521.0291,,,,,2096584.0
1922-07-18,475.72223,,,,,2096584.0
1922-07-19,436.0787,,,,,2096584.0
1922-07-20,413.4253,,,,,2096584.0
1922-07-21,390.77185,,,,,2096584.0
1922-07-22,370.95007,,,,,2096584.0
1922-07-23,362.45505,,,,,2096584.0
1922-07-24,336.9699,,,,,2096584.0
1922-07-25,317.14816,,,,,2096584.0
1922-07-26,305.82144,,,,,2096584.0
1922-07-27,294.49472,,,,,2096584.0
1922-07-28,294.49472,,,,,2096584.0
1922-07-29,285.9997,,,,,2096584.0
1922-07-30,281.18582,,,,,2096584.0
1922-07-31,285.9997,,,,,2096584.0
1922-08-01,336.9699,,,,,1087967.0
1922-08-02,342.63327,,,,,1087967.0
1922-08-03,351.12833,,,,,1087967.0
1922-08-04,379.44513,,,,,1087967.0
1922-08-05,421.92032,,,,,1087967.0
1922-08-06,399.26688,,,,,1087967.0
1922-08-07,351.12833,,,,,1087967.0
1922-08-08,336.9699,,,,,1087967.0
1922-08-09,331.30655,,,,,1087967.0
1922-08-10,311.4848,,,,,1087967.0
1922-08-11,281.18582,,,,,1087967.0
1922-08-12,300.15808,,,,,1087967.0
1922-08-13,258.2492,,,,,1087967.0
1922-08-14,252.86902,,,,,1087967.0
1922-08-15,247.48883,,,,,1087967.0
1922-08-16,231.63142,,,,,1087967.0
1922-08-17,231.63142,,,,,1087967.0
1922-08-18,242.10864,,,,,1087967.0
1922-08-19,242.10864,,,,,1087967.0
1922-08-20,325.6432,,,,,1087967.0
1922-08-21,311.4848,,,,,1087967.0
1922-08-22,331.30655,,,,,1087967.0
1922-08-23,351.12833,,,,,1087967.0
1922-08-24,351.12833,,,,,1087967.0
1922-08-25,546.5142,,,,,1087967.0
1922-08-26,504.03903,,,,,1087967.0
1922-08-27,356.7917,,,,,1087967.0
1922-08-28,311.4848,,,,,1087967.0
1922-08-29,294.49472,,,,,1087967.0
1922-08-30,263.91257,,,,,1087967.0
1922-08-31,252.86902,,,,,1087967.0
1922-09-01,242.10864,,,,,617284.0
1922-09-02,247.48883,,,,,617284.0
1922-09-03,247.48883,,,,,617284.0
1922-09-04,305.82144,,,,,617284.0
1922-09-05,331.30655,,,,,617284.0
1922-09-06,281.18582,,,,,617284.0
1922-09-07,252.86902,,,,,617284.0
1922-09-08,252.86902,,,,,617284.0
1922-09-09,258.2492,,,,,617284.0
1922-09-10,242.10864,,,,,617284.0
1922-09-11,231.63142,,,,,617284.0
1922-09-12,221.43738,,,,,617284.0
1922-09-13,206.71265,,,,,617284.0
1922-09-14,197.08493,,,,,617284.0
1922-09-15,188.02356,,,,,617284.0
1922-09-16,183.49286,,,,,617284.0
1922-09-17,178.96217,,,,,617284.0
1922-09-18,174.71466,,,,,617284.0
1922-09-19,161.97209,,,,,617284.0
1922-09-20,158.00775,,,,,617284.0
1922-09-21,158.00775,,,,,617284.0
1922-09-22,150.07904,,,,,617284.0
1922-09-23,150.07904,,,,,617284.0
1922-09-24,146.39786,,,,,617284.0
1922-09-25,142.71667,,,,,617284.0
1922-09-26,142.71667,,,,,617284.0
1922-09-27,139.31865,,,,,617284.0
1922-09-28,139.31865,,,,,617284.0
1922-09-29,135.63747,,,,,617284.0
1922-09-30,135.63747,,,,,617284.0
1922-10-01,131.95628,,,,,327500.0
1922-10-02,128.55827,,,,,327500.0
1922-10-03,128.55827,,,,,327500.0
1922-10-04,128.55827,,,,,327500.0
1922-10-05,131.95628,,,,,327500.0
1922-10-06,131.95628,,,,,327500.0
1922-10-07,135.63747,,,,,327500.0
1922-10-08,135.63747,,,,,327500.0
1922-10-09,131.95628,,,,,327500.0
1922-10-10,128.55827,,,,,327500.0
1922-10-11,128.55827,,,,,327500.0
1922-10-12,128.55827,,,,,327500.0
1922-10-13,125.160255,,,,,327500.0
1922-10-14,125.160255,,,,,327500.0
1922-10-15,128.55827,,,,,327500.0
1922-10-16,128.55827,,,,,327500.0
1922-10-17,128.55827,,,,,327500.0
1922-10-18,128.55827,,,,,327500.0
1922-10-19,128.55827,,,,,327500.0
1922-10-20,128.55827,,,,,327500.0
1922-10-21,135.63747,,,,,327500.0
1922-10-22,135.63747,,,,,327500.0
1922-10-23,135.63747,,,,,327500.0
1922-10-24,135.63747,,,,,327500.0
1922-10-25,135.63747,,,,,327500.0
1922-10-26,135.63747,,,,,327500.0
1922-10-27,139.31865,,,,,327500.0
1922-10-28,139.31865,,,,,327500.0
1922-10-29,146.39786,,,,,327500.0
1922-10-30,146.39786,,,,,327500.0
1922-10-31,146.39786,,,,,327500.0
1922-11-01,146.39786,,,,,391261.0
1922-11-02,150.07904,,,,,391261.0
1922-11-03,158.00775,,,,,391261.0
1922-11-04,170.46713,,,,,391261.0
1922-11-05,183.49286,,,,,391261.0
1922-11-06,183.49286,,,,,391261.0
1922-11-07,183.49286,,,,,391261.0
1922-11-08,188.02356,,,,,391261.0
1922-11-09,197.08493,,,,,391261.0
1922-11-10,201.89879,,,,,391261.0
1922-11-11,201.89879,,,,,391261.0
1922-11-12,197.08493,,,,,391261.0
1922-11-13,197.08493,,,,,391261.0
1922-11-14,197.08493,,,,,391261.0
1922-11-15,201.89879,,,,,391261.0
1922-11-16,201.89879,,,,,391261.0
1922-11-17,206.71265,,,,,391261.0
1922-11-18,206.71265,,,,,391261.0
1922-11-19,197.08493,,,,,391261.0
1922-11-20,188.02356,,,,,391261.0
1922-11-21,183.49286,,,,,391261.0
1922-11-22,183.49286,,,,,391261.0
1922-11-23,188.02356,,,,,391261.0
1922-11-24,192.55424,,,,,391261.0
1922-11-25,197.08493,,,,,391261.0
1922-11-26,197.08493,,,,,391261.0
1922-11-27,197.08493,,,,,391261.0
1922-11-28,201.89879,,,,,391261.0
1922-11-29,197.08493,,,,,391261.0
1922-11-30,197.08493,,,,,391261.0
1922-12-01,201.89879,,,,,400862.0
1922-12-02,188.02356,,,,,400862.0
1922-12-03,201.89879,,,,,400862.0
1922-12-04,201.89879,,,,,400862.0
1922-12-05,197.08493,,,,,400862.0
1922-12-06,192.55424,,,,,400862.0
1922-12-07,188.02356,,,,,400862.0
1922-12-08,197.08493,,,,,400862.0
1922-12-09,201.89879,,,,,400862.0
1922-12-10,201.89879,,,,,400862.0
1922-12-11,197.08493,,,,,400862.0
1922-12-12,192.55424,,,,,400862.0
1922-12-13,188.02356,,,,,400862.0
1922-12-14,192.55424,,,,,400862.0
1922-12-15,178.96217,,,,,400862.0
1922-12-16,174.71466,,,,,400862.0
1922-12-17,166.21962,,,,,400862.0
1922-12-18,174.71466,,,,,400862.0
1922-12-19,197.08493,,,,,400862.0
1922-12-20,201.89879,,,,,400862.0
1922-12-21,201.89879,,,,,400862.0
1922-12-22,201.89879,,,,,400862.0
1922-12-23,201.89879,,,,,400862.0
1922-12-24,183.49286,,,,,400862.0
1922-12-25,170.46713,,,,,400862.0
1922-12-26,139.31865,,,,,400862.0
1922-12-27,139.31865,,,,,400862.0
1922-12-28,139.31865,,,,,400862.0
1922-12-29,139.31865,,,,,400862.0
1922-12-30,150.07904,,,,,400862.0
1922-12-31,158.00775,,,,,400862.0
1923-01-01,161.97209,,,,,369732.0
1923-01-02,166.21962,,,,,369732.0
1923-01-03,178.96217,,,,,369732.0
1923-01-04,161.97209,,,,,369732.0
1923-01-05,154.0434,,,,,369732.0
1923-01-06,166.21962,,,,,369732.0
1923-01-07,146.39786,,,,,369732.0
1923-01-08,150.07904,,,,,369732.0
1923-01-09,150.07904,,,,,369732.0
1923-01-10,158.00775,,,,,369732.0
1923-01-11,170.46713,,,,,369732.0
1923-01-12,174.71466,,,,,369732.0
1923-01-13,170.46713,,,,,369732.0
1923-01-14,174.71466,,,,,369732.0
1923-01-15,178.96217,,,,,369732.0
1923-01-16,183.49286,,,,,369732.0
1923-01-17,183.49286,,,,,369732.0
1923-01-18,178.96217,,,,,369732.0
1923-01-19,177.26317,,,,,369732.0
1923-01-20,177.26317,,,,,369732.0
1923-01-21,177.26317,,,,,369732.0
1923-01-22,172.44931,,,,,369732.0
1923-01-23,172.44931,,,,,369732.0
1923-01-24,172.44931,,,,,369732.0
1923-01-25,177.26317,,,,,369732.0
1923-01-26,177.26317,,,,,369732.0
1923-01-27,182.3602,,,,,369732.0
1923-01-28,187.45721,,,,,369732.0
1923-01-29,182.3602,,,,,369732.0
1923-01-30,177.26317,,,,,369732.0
1923-01-31,177.26317,,,,,369732.0
1923-02-01,177.26317,,,,,336029.0
1923-02-02,172.44931,,,,,336029.0
1923-02-03,172.44931,,,,,336029.0
1923-02-04,172.44931,,,,,336029.0
1923-02-05,172.44931,,,,,336029.0
1923-02-06,172.44931,,,,,336029.0
1923-02-07,167.63545,,,,,336029.0
1923-02-08,152.91072,,,,,336029.0
1923-02-09,148.09686,,,,,336029.0
1923-02-10,148.09686,,,,,336029.0
1923-02-11,143.283,,,,,336029.0
1923-02-12,143.283,,,,,336029.0
1923-02-13,143.283,,,,,336029.0
1923-02-14,148.09686,,,,,336029.0
1923-02-15,148.09686,,,,,336029.0
1923-02-16,152.91072,,,,,336029.0
1923-02-17,162.53844,,,,,336029.0
1923-02-18,167.63545,,,,,336029.0
1923-02-19,172.44931,,,,,336029.0
1923-02-20,177.26317,,,,,336029.0
1923-02-21,192.55424,,,,,336029.0
1923-02-22,192.55424,,,,,336029.0
1923-02-23,197.65126,,,,,336029.0
1923-02-24,197.65126,,,,,336029.0
1923-02-25,202.74829,,,,,336029.0
1923-02-26,207.8453,,,,,336029.0
1923-02-27,213.22551,,,,,336029.0
1923-02-28,213.22551,,,,,336029.0
