date,q_cms
1924-07-20,356.7917
1924-07-21,328.47488
1924-07-22,322.81152
1924-07-23,311.4848
1924-07-24,285.9997
1924-07-25,262.49673
1924-07-26,241.25914
1924-07-27,229.36607
1924-07-28,231.63142
1924-07-29,230.49875
1924-07-30,245.50665
1924-07-31,188.30672
1924-08-01,201.33244
1924-08-02,223.98589
1924-08-03,229.36607
1924-08-04,210.39383
1924-08-05,203.31462
1924-08-06,181.79385
1924-08-07,191.1384
1924-08-08,174.43149
1924-08-09,150.92854
1924-08-10,139.03549
1924-08-11,131.67313
1924-08-12,121.19591
1924-08-13,115.81571
1924-08-14,112.70087
1924-08-15,110.15235
1924-08-16,116.94839
1924-08-17,121.19591
1924-08-18,135.35431
1924-08-19,133.08896
1924-08-20,125.160255
1924-08-21,132.52263
1924-08-22,124.31075
1924-08-23,123.17808
1924-08-24,116.94839
1924-08-25,107.88701
1924-08-26,99.1088
1924-08-27,95.14445
1924-08-28,87.78208
1924-08-29,82.68506
1924-08-30,79.28704
1924-08-31,77.8712
1924-09-01,74.756355
1924-09-02,70.792
1924-09-03,67.677155
1924-09-04,67.677155
1924-09-05,65.69498
1924-09-06,66.827644
1924-09-07,65.411804
1924-09-08,64.845474
1924-09-09,64.845474
1924-09-10,96.84345
1924-09-11,91.74643
1924-09-12,79.28704
1924-09-13,272.97394
1924-09-14,259.09872
1924-09-15,217.7562
1924-09-16,178.96217
1924-09-17,136.77014
1924-09-18,127.70877
1924-09-19,136.77014
1924-09-20,129.69095
1924-09-21,118.93056
1924-09-22,109.58601
1924-09-23,106.75433
1924-09-24,104.77216
1924-09-25,106.75433
1924-09-26,109.01968
1924-09-27,109.01968
1924-09-28,107.32067
1924-09-29,107.32067
1924-09-30,109.01968
1924-10-01,108.73651
1924-10-02,108.17017
1924-10-03,107.60384
1924-10-04,106.47117
1924-10-05,105.90483
1924-10-06,106.47117
1924-10-07,118.93056
1924-10-08,153.1939
1924-10-09,186.32454
1924-10-10,160.83942
1924-10-11,157.4414
1924-10-12,176.98
1924-10-13,188.30672
1924-10-14,174.14832
1924-10-15,167.06912
1924-10-16,172.44931
1924-10-17,178.96217
1924-10-18,179.81168
1924-10-19,176.1305
1924-10-20,176.1305
1924-10-21,187.17404
1924-10-22,189.15622
1924-10-23,190.2889
1924-10-24,189.15622
1924-10-25,195.10275
1924-10-26,191.9879
1924-10-27,193.97008
1924-10-28,193.12057
1924-10-29,177.8295
1924-10-30,183.49286
1924-10-31,184.34236
1924-11-01,179.81168
1924-11-02,183.49286
1924-11-03,186.32454
1924-11-04,188.30672
1924-11-05,186.32454
1924-11-06,188.30672
1924-11-07,187.17404
1924-11-08,186.32454
1924-11-09,186.32454
1924-11-10,187.17404
1924-11-11,195.10275
1924-11-12,189.15622
1924-11-13,186.32454
1924-11-14,183.49286
1924-11-15,187.17404
1924-11-16,188.30672
1924-11-17,191.1384
1924-11-18,188.30672
1924-11-19,188.30672
1924-11-20,185.47504
1924-11-21,178.96217
1924-11-22,176.1305
1924-11-23,176.1305
1924-11-24,180.66118
